Fund Holdings as of,"28/Sep/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"WMT","WALMART INC","Equity","0.55","93.91","1,887,504.00","177,255,500.64","177,255,500.64","Consumer Staples","US9311421039","New York Stock Exchange Inc.","United States","USD"
"AMGN","AMGEN INC","Equity","0.54","207.29","851,609.00","176,530,029.61","176,530,029.61","Health Care","US0311621009","NASDAQ","United States","USD"
"MDT","MEDTRONIC PLC","Equity","0.54","98.37","1,776,859.00","174,789,619.83","174,789,619.83","Health Care","IE00BTN1Y115","New York Stock Exchange Inc.","United States","USD"
"ADBE","ADOBE SYSTEM INC","Equity","0.54","269.95","644,246.00","173,914,207.70","173,914,207.70","Information Technology","US00724F1012","NASDAQ","United States","USD"
"MCD","MCDONALDS CORP","Equity","0.53","167.29","1,020,712.00","170,754,910.48","170,754,910.48","Consumer Discretionary","US5801351017","New York Stock Exchange Inc.","United States","USD"
"ABT","ABBOTT LABORATORIES","Equity","0.52","73.36","2,308,145.00","169,325,517.20","169,325,517.20","Health Care","US0028241000","New York Stock Exchange Inc.","United States","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.51","81.54","2,045,257.00","166,770,255.78","166,770,255.78","Consumer Staples","US7181721090","New York Stock Exchange Inc.","United States","USD"
"MMM","3M","Equity","0.50","210.71","771,803.00","162,626,610.13","162,626,610.13","Industrials","US88579Y1010","New York Stock Exchange Inc.","United States","USD"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.50","164.55","977,050.00","160,773,577.50","160,773,577.50","Industrials","US4385161066","New York Stock Exchange Inc.","United States","USD"
"UNP","UNION PACIFIC CORP","Equity","0.49","162.83","972,948.00","158,425,122.84","158,425,122.84","Industrials","US9078181081","New York Stock Exchange Inc.","United States","USD"
"CRM","SALESFORCE.COM INC","Equity","0.49","159.03","995,586.00","158,328,041.58","158,328,041.58","Information Technology","US79466L3024","New York Stock Exchange Inc.","United States","USD"
"MO","ALTRIA GROUP INC","Equity","0.46","60.31","2,480,313.00","149,587,677.03","149,587,677.03","Consumer Staples","US02209S1033","New York Stock Exchange Inc.","United States","USD"
"ACN","ACCENTURE PLC CLASS A","Equity","0.44","170.20","843,031.00","143,483,876.20","143,483,876.20","Information Technology","IE00B4BNMY34","New York Stock Exchange Inc.","United States","USD"
"NKE","NIKE INC CLASS B","Equity","0.44","84.72","1,684,733.00","142,730,579.76","142,730,579.76","Consumer Discretionary","US6541061031","New York Stock Exchange Inc.","United States","USD"
"AVGO","BROADCOM INC","Equity","0.43","246.73","567,958.00","140,132,277.34","140,132,277.34","Information Technology","US11135F1012","NASDAQ","United States","USD"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.43","139.81","989,519.00","138,344,651.39","138,344,651.39","Industrials","US9130171096","New York Stock Exchange Inc.","United States","USD"
"TXN","TEXAS INSTRUMENT INC","Equity","0.42","107.29","1,277,220.00","137,032,933.80","137,032,933.80","Information Technology","US8825081040","NASDAQ","United States","USD"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.42","87.84","1,557,352.00","136,797,799.68","136,797,799.68","Information Technology","US70450Y1038","NASDAQ","United States","USD"
"COST","COSTCO WHOLESALE CORP","Equity","0.42","234.88","576,985.00","135,522,236.80","135,522,236.80","Consumer Staples","US22160K1051","NASDAQ","United States","USD"
"LLY","ELI LILLY","Equity","0.42","107.31","1,257,603.00","134,953,377.93","134,953,377.93","Health Care","US5324571083","New York Stock Exchange Inc.","United States","USD"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.41","62.08","2,147,050.00","133,288,864.00","133,288,864.00","Health Care","US1101221083","New York Stock Exchange Inc.","United States","USD"
"QCOM","QUALCOMM INC","Equity","0.41","72.03","1,850,414.00","133,285,320.42","133,285,320.42","Information Technology","US7475251036","NASDAQ","United States","USD"
"GILD","GILEAD SCIENCES INC","Equity","0.41","77.21","1,705,585.00","131,688,217.85","131,688,217.85","Health Care","US3755581036","NASDAQ","United States","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.40","244.08","529,956.00","129,351,660.48","129,351,660.48","Health Care","US8835561023","New York Stock Exchange Inc.","United States","USD"
"GE","GENERAL ELECTRIC","Equity","0.40","11.29","11,434,802.00","129,098,914.58","129,098,914.58","Industrials","US3696041033","New York Stock Exchange Inc.","United States","USD"
"BKNG","BOOKING HOLDINGS INC","Equity","0.38","1,984.00","62,461.00","123,922,624.00","123,922,624.00","Consumer Discretionary","US09857L1089","NASDAQ","United States","USD"
"LOW","LOWES COMPANIES INC","Equity","0.38","114.82","1,067,031.00","122,516,499.42","122,516,499.42","Consumer Discretionary","US5486611073","New York Stock Exchange Inc.","United States","USD"
"CAT","CATERPILLAR INC","Equity","0.37","152.49","782,208.00","119,278,897.92","119,278,897.92","Industrials","US1491231015","New York Stock Exchange Inc.","United States","USD"
"COP","CONOCOPHILLIPS","Equity","0.36","77.40","1,526,602.00","118,158,994.80","118,158,994.80","Energy","US20825C1045","New York Stock Exchange Inc.","United States","USD"
