Fund Holdings as of,"28/Sep/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"HAL","HALLIBURTON","Equity","0.14","40.53","1,157,665.00","46,920,162.45","46,920,162.45","Energy","US4062161017","New York Stock Exchange Inc.","United States","USD"
"WM","WASTE MANAGEMENT INC","Equity","0.14","90.36","518,573.00","46,858,256.28","46,858,256.28","Industrials","US94106L1098","New York Stock Exchange Inc.","United States","USD"
"SYY","SYSCO CORP","Equity","0.14","73.25","629,874.00","46,138,270.50","46,138,270.50","Consumer Staples","US8718291078","New York Stock Exchange Inc.","United States","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.14","70.88","648,550.00","45,969,224.00","45,969,224.00","Utilities","US0255371017","New York Stock Exchange Inc.","United States","USD"
"TRV","TRAVELERS COMPANIES INC","Equity","0.14","129.71","352,584.00","45,733,670.64","45,733,670.64","Financials","US89417E1091","New York Stock Exchange Inc.","United States","USD"
"EQIX","EQUINIX REIT INC","Equity","0.14","432.89","104,609.00","45,284,190.01","45,284,190.01","Real Estate","US29444U7000","NASDAQ","United States","USD"
"APC","ANADARKO PETROLEUM CORP","Equity","0.14","67.41","671,806.00","45,286,442.46","45,286,442.46","Energy","US0325111070","New York Stock Exchange Inc.","United States","USD"
"ADI","ANALOG DEVICES INC","Equity","0.14","92.46","489,004.00","45,213,309.84","45,213,309.84","Information Technology","US0326541051","NASDAQ","United States","USD"
"KHC","KRAFT HEINZ","Equity","0.14","55.11","818,119.00","45,086,538.09","45,086,538.09","Consumer Staples","US5007541064","NASDAQ","United States","USD"
"ALL","ALLSTATE CORP","Equity","0.14","98.70","455,537.00","44,961,501.90","44,961,501.90","Financials","US0200021014","New York Stock Exchange Inc.","United States","USD"
"ADSK","AUTODESK INC","Equity","0.14","156.11","286,636.00","44,746,745.96","44,746,745.96","Information Technology","US0527691069","NASDAQ","United States","USD"
"KMI","KINDER MORGAN INC","Equity","0.14","17.73","2,497,022.00","44,272,200.06","44,272,200.06","Energy","US49456B1017","New York Stock Exchange Inc.","United States","USD"
"FISV","FISERV INC","Equity","0.14","82.38","535,928.00","44,149,748.64","44,149,748.64","Information Technology","US3377381088","NASDAQ","United States","USD"
"WMB","WILLIAMS INC","Equity","0.13","27.19","1,591,153.00","43,263,450.07","43,263,450.07","Energy","US9694571004","New York Stock Exchange Inc.","United States","USD"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.13","102.51","419,494.00","43,002,329.94","43,002,329.94","Materials","NL0009434992","New York Stock Exchange Inc.","United States","USD"
"EL","ESTEE LAUDER INC CLASS A","Equity","0.13","145.32","295,111.00","42,885,530.52","42,885,530.52","Consumer Staples","US5184391044","New York Stock Exchange Inc.","United States","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.13","35.00","1,216,905.00","42,591,675.00","42,591,675.00","Industrials","IE00BY7QL619","New York Stock Exchange Inc.","United States","USD"
"LUV","SOUTHWEST AIRLINES","Equity","0.13","62.45","678,529.00","42,374,136.05","42,374,136.05","Industrials","US8447411088","New York Stock Exchange Inc.","United States","USD"
"STT","STATE STREET CORP","Equity","0.13","83.78","499,192.00","41,822,305.76","41,822,305.76","Financials","US8574771031","New York Stock Exchange Inc.","United States","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.13","404.04","101,945.00","41,189,857.80","41,189,857.80","Health Care","US75886F1075","NASDAQ","United States","USD"
"SRE","SEMPRA ENERGY","Equity","0.13","113.75","359,789.00","40,925,998.75","40,925,998.75","Utilities","US8168511090","New York Stock Exchange Inc.","United States","USD"
"ALXN","ALEXION PHARMACEUTICALS INC","Equity","0.13","139.01","293,622.00","40,816,394.22","40,816,394.22","Health Care","US0153511094","NASDAQ","United States","USD"
"EBAY","EBAY INC","Equity","0.12","33.02","1,223,829.00","40,410,833.58","40,410,833.58","Information Technology","US2786421030","NASDAQ","United States","USD"
"STI","SUNTRUST BANKS INC","Equity","0.12","66.79","604,686.00","40,386,977.94","40,386,977.94","Financials","US8679141031","New York Stock Exchange Inc.","United States","USD"
"ROP","ROPER TECHNOLOGIES INC","Equity","0.12","296.21","136,178.00","40,337,285.38","40,337,285.38","Industrials","US7766961061","New York Stock Exchange Inc.","United States","USD"
"CXO","CONCHO RESOURCES INC","Equity","0.12","152.75","263,488.00","40,247,792.00","40,247,792.00","Energy","US20605P1012","New York Stock Exchange Inc.","United States","USD"
"TEL","TE CONNECTIVITY LTD","Equity","0.12","87.93","457,435.00","40,222,259.55","40,222,259.55","Information Technology","CH0102993182","New York Stock Exchange Inc.","United States","USD"
"VFC","VF CORP","Equity","0.12","93.45","427,222.00","39,923,895.90","39,923,895.90","Consumer Discretionary","US9182041080","New York Stock Exchange Inc.","United States","USD"
"PSA","PUBLIC STORAGE REIT","Equity","0.12","201.63","197,151.00","39,751,556.13","39,751,556.13","Real Estate","US74460D1090","New York Stock Exchange Inc.","United States","USD"
"CNC","CENTENE CORP","Equity","0.12","144.78","270,055.00","39,098,562.90","39,098,562.90","Health Care","US15135B1017","New York Stock Exchange Inc.","United States","USD"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.12","174.19","224,265.00","39,064,720.35","39,064,720.35","Energy","US7237871071","New York Stock Exchange Inc.","United States","USD"
"YUM","YUM BRANDS INC","Equity","0.12","90.91","420,168.00","38,197,472.88","38,197,472.88","Consumer Discretionary","US9884981013","New York Stock Exchange Inc.","United States","USD"
"DG","DOLLAR GENERAL CORP","Equity","0.12","109.30","349,358.00","38,184,829.40","38,184,829.40","Consumer Discretionary","US2566771059","New York Stock Exchange Inc.","United States","USD"
"GLW","CORNING INC","Equity","0.12","35.30","1,065,730.00","37,620,269.00","37,620,269.00","Information Technology","US2193501051","New York Stock Exchange Inc.","United States","USD"
"ALGN","ALIGN TECHNOLOGY INC","Equity","0.12","391.22","96,165.00","37,621,671.30","37,621,671.30","Health Care","US0162551016","NASDAQ","United States","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.11","347.32","106,821.00","37,101,069.72","37,101,069.72","Consumer Discretionary","US67103H1077","NASDAQ","United States","USD"
"APH","AMPHENOL CORP CLASS A","Equity","0.11","94.02","394,504.00","37,091,266.08","37,091,266.08","Information Technology","US0320951017","New York Stock Exchange Inc.","United States","USD"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.11","50.27","736,441.00","37,020,889.07","37,020,889.07","Consumer Staples","US0394831020","New York Stock Exchange Inc.","United States","USD"
"MCO","MOODYS CORP","Equity","0.11","167.20","219,692.00","36,732,502.40","36,732,502.40","Financials","US6153691059","New York Stock Exchange Inc.","United States","USD"
"OKE","ONEOK INC","Equity","0.11","67.79","541,075.00","36,679,474.25","36,679,474.25","Energy","US6826801036","New York Stock Exchange Inc.","United States","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.11","131.47","267,728.00","35,198,200.16","35,198,200.16","Health Care","US98956P1021","New York Stock Exchange Inc.","United States","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.11","52.79","665,486.00","35,131,005.94","35,131,005.94","Utilities","US7445731067","New York Stock Exchange Inc.","United States","USD"
"MCK","MCKESSON CORP","Equity","0.11","132.65","263,664.00","34,975,029.60","34,975,029.60","Health Care","US58155Q1031","New York Stock Exchange Inc.","United States","USD"
"TROW","T ROWE PRICE GROUP INC","Equity","0.11","109.18","319,965.00","34,933,778.70","34,933,778.70","Financials","US74144T1088","NASDAQ","United States","USD"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.11","30.89","1,128,716.00","34,866,037.24","34,866,037.24","Information Technology","US0079031078","NASDAQ","United States","USD"
"PPG","PPG INDUSTRIES INC","Equity","0.11","109.13","318,424.00","34,749,611.12","34,749,611.12","Materials","US6935061076","New York Stock Exchange Inc.","United States","USD"
"DXC","DXC TECHNOLOGY","Equity","0.11","93.52","370,881.00","34,684,791.12","34,684,791.12","Information Technology","US23355L1061","New York Stock Exchange Inc.","United States","USD"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.11","76.45","450,835.00","34,466,335.75","34,466,335.75","Financials","US2547091080","New York Stock Exchange Inc.","United States","USD"
"FTV","FORTIVE CORP","Equity","0.11","84.20","404,672.00","34,073,382.40","34,073,382.40","Industrials","US34959J1088","New York Stock Exchange Inc.","United States","USD"
"CCL","CARNIVAL CORP","Equity","0.10","63.77","529,178.00","33,745,681.06","33,745,681.06","Consumer Discretionary","PA1436583006","New York Stock Exchange Inc.","United States","USD"
"GIS","GENERAL MILLS INC","Equity","0.10","42.92","784,119.00","33,654,387.48","33,654,387.48","Consumer Staples","US3703341046","New York Stock Exchange Inc.","United States","USD"
"IR","INGERSOLL RAND PLC","Equity","0.10","102.30","323,767.00","33,121,364.10","33,121,364.10","Industrials","IE00B6330302","New York Stock Exchange Inc.","United States","USD"
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.10","181.15","181,855.00","32,943,033.25","32,943,033.25","Real Estate","US0534841012","New York Stock Exchange Inc.","United States","USD"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.10","66.26","485,489.00","32,168,501.14","32,168,501.14","Real Estate","US29476L1070","New York Stock Exchange Inc.","United States","USD"
"WY","WEYERHAEUSER REIT","Equity","0.10","32.27","996,873.00","32,169,091.71","32,169,091.71","Real Estate","US9621661043","New York Stock Exchange Inc.","United States","USD"
"RHT","RED HAT INC","Equity","0.10","136.28","234,103.00","31,903,556.84","31,903,556.84","Information Technology","US7565771026","New York Stock Exchange Inc.","United States","USD"
"PH","PARKER-HANNIFIN CORP","Equity","0.10","183.93","173,303.00","31,875,620.79","31,875,620.79","Industrials","US7010941042","New York Stock Exchange Inc.","United States","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.10","80.78","392,322.00","31,691,771.16","31,691,771.16","Consumer Discretionary","US43300A2033","New York Stock Exchange Inc.","United States","USD"
"XEL","XCEL ENERGY INC","Equity","0.10","47.21","670,827.00","31,669,742.67","31,669,742.67","Utilities","US98389B1008","NASDAQ","United States","USD"
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.10","16.31","1,936,234.00","31,579,976.54","31,579,976.54","Information Technology","US42824C1099","New York Stock Exchange Inc.","United States","USD"
"WELL","WELLTOWER INC","Equity","0.10","64.32","490,468.00","31,546,901.76","31,546,901.76","Real Estate","US95040Q1040","New York Stock Exchange Inc.","United States","USD"
"LRCX","LAM RESEARCH CORP","Equity","0.10","151.70","207,324.00","31,451,050.80","31,451,050.80","Information Technology","US5128071082","NASDAQ","United States","USD"
"PCAR","PACCAR INC","Equity","0.10","68.19","459,651.00","31,343,601.69","31,343,601.69","Industrials","US6937181088","NASDAQ","United States","USD"
"PCG","PG&E CORP","Equity","0.10","46.01","680,579.00","31,313,439.79","31,313,439.79","Utilities","US69331C1080","New York Stock Exchange Inc.","United States","USD"
"ED","CONSOLIDATED EDISON INC","Equity","0.10","76.19","409,602.00","31,207,576.38","31,207,576.38","Utilities","US2091151041","New York Stock Exchange Inc.","United States","USD"
"MTB","M&T BANK CORP","Equity","0.10","164.54","188,936.00","31,087,529.44","31,087,529.44","Financials","US55261F1049","New York Stock Exchange Inc.","United States","USD"
"PAYX","PAYCHEX INC","Equity","0.10","73.65","421,187.00","31,020,422.55","31,020,422.55","Information Technology","US7043261079","NASDAQ","United States","USD"
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.09","112.48","271,378.00","30,524,597.44","30,524,597.44","Real Estate","US2538681030","New York Stock Exchange Inc.","United States","USD"
"KR","KROGER","Equity","0.09","29.11","1,048,173.00","30,512,316.03","30,512,316.03","Consumer Staples","US5010441013","New York Stock Exchange Inc.","United States","USD"
"MNST","MONSTER BEVERAGE CORP","Equity","0.09","58.28","523,408.00","30,504,218.24","30,504,218.24","Consumer Staples","US61174X1090","NASDAQ","United States","USD"
"ROK","ROCKWELL AUTOMATION INC","Equity","0.09","187.52","162,044.00","30,386,490.88","30,386,490.88","Industrials","US7739031091","New York Stock Exchange Inc.","United States","USD"
"COL","ROCKWELL COLLINS INC","Equity","0.09","140.47","216,253.00","30,377,058.91","30,377,058.91","Industrials","US7743411016","New York Stock Exchange Inc.","United States","USD"
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.09","102.13","293,769.00","30,002,627.97","30,002,627.97","Financials","US6658591044","NASDAQ","United States","USD"
"SWK","STANLEY BLACK & DECKER INC","Equity","0.09","146.44","200,685.00","29,388,311.40","29,388,311.40","Industrials","US8545021011","New York Stock Exchange Inc.","United States","USD"
"FOX","TWENTY-FIRST CENTURY FOX INC CLASS","Equity","0.09","45.82","640,870.00","29,364,663.40","29,364,663.40","Consumer Discretionary","US90130A2006","NASDAQ","United States","USD"
"A","AGILENT TECHNOLOGIES INC","Equity","0.09","70.39","416,603.00","29,325,101.77","29,325,101.77","Health Care","US00846U1016","New York Stock Exchange Inc.","United States","USD"
"NTAP","NETAPP INC","Equity","0.09","85.89","341,120.00","29,298,796.80","29,298,796.80","Information Technology","US64110D1046","NASDAQ","United States","USD"
"RCL","ROYAL CARIBBEAN CRUISES LTD","Equity","0.09","129.94","225,449.00","29,294,843.06","29,294,843.06","Consumer Discretionary","LR0008862868","New York Stock Exchange Inc.","United States","USD"
"APTV","APTIV PLC","Equity","0.09","83.90","348,312.00","29,223,376.80","29,223,376.80","Consumer Discretionary","JE00B783TY65","New York Stock Exchange Inc.","United States","USD"
"EIX","EDISON INTERNATIONAL","Equity","0.09","67.68","429,953.00","29,099,219.04","29,099,219.04","Utilities","US2810201077","New York Stock Exchange Inc.","United States","USD"
"CMI","CUMMINS INC","Equity","0.09","146.07","197,676.00","28,874,533.32","28,874,533.32","Industrials","US2310211063","New York Stock Exchange Inc.","United States","USD"
"IDXX","IDEXX LABORATORIES INC","Equity","0.09","249.66","114,174.00","28,504,680.84","28,504,680.84","Health Care","US45168D1046","NASDAQ","United States","USD"
"CERN","CERNER CORP","Equity","0.09","64.41","432,870.00","27,881,156.70","27,881,156.70","Health Care","US1567821046","NASDAQ","United States","USD"
"SYF","SYNCHRONY FINANCIAL","Equity","0.09","31.08","896,553.00","27,864,867.24","27,864,867.24","Financials","US87165B1035","New York Stock Exchange Inc.","United States","USD"
"WEC","WEC ENERGY GROUP INC","Equity","0.09","66.76","416,564.00","27,809,812.64","27,809,812.64","Utilities","US92939U1060","New York Stock Exchange Inc.","United States","USD"
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.09","130.14","213,496.00","27,784,369.44","27,784,369.44","Information Technology","US6200763075","New York Stock Exchange Inc.","United States","USD"
"AMP","AMERIPRISE FINANCE INC","Equity","0.09","147.66","186,651.00","27,560,886.66","27,560,886.66","Financials","US03076C1062","New York Stock Exchange Inc.","United States","USD"
"KEY","KEYCORP","Equity","0.09","19.89","1,384,657.00","27,540,827.73","27,540,827.73","Financials","US4932671088","New York Stock Exchange Inc.","United States","USD"
"IQV","IQVIA HOLDINGS INC","Equity","0.08","129.74","212,221.00","27,533,552.54","27,533,552.54","Health Care","US46266C1053","New York Stock Exchange Inc.","United States","USD"
"AZO","AUTOZONE INC","Equity","0.08","775.70","34,865.00","27,044,780.50","27,044,780.50","Consumer Discretionary","US0533321024","New York Stock Exchange Inc.","United States","USD"
"PPL","PPL CORP","Equity","0.08","29.26","921,751.00","26,970,434.26","26,970,434.26","Utilities","US69351T1060","New York Stock Exchange Inc.","United States","USD"
"TWTR","TWITTER INC","Equity","0.08","28.46","947,231.00","26,958,194.26","26,958,194.26","Information Technology","US90184L1026","New York Stock Exchange Inc.","United States","USD"
"RF","REGIONS FINANCIAL CORP","Equity","0.08","18.35","1,463,424.00","26,853,830.40","26,853,830.40","Financials","US7591EP1005","New York Stock Exchange Inc.","United States","USD"
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.08","89.06","301,278.00","26,831,818.68","26,831,818.68","Industrials","US9100471096","NASDAQ","United States","USD"
"XLNX","XILINX INC","Equity","0.08","80.17","334,305.00","26,801,231.85","26,801,231.85","Information Technology","US9839191015","NASDAQ","United States","USD"
"DVN","DEVON ENERGY CORP","Equity","0.08","39.94","669,428.00","26,736,954.32","26,736,954.32","Energy","US25179M1036","New York Stock Exchange Inc.","United States","USD"
"ABMD","ABIOMED INC","Equity","0.08","449.75","59,045.00","26,555,488.75","26,555,488.75","Health Care","US0036541003","NASDAQ","United States","USD"
"FCX","FREEPORT MCMORAN INC","Equity","0.08","13.92","1,906,437.00","26,537,603.04","26,537,603.04","Materials","US35671D8570","New York Stock Exchange Inc.","United States","USD"
"IP","INTERNATIONAL PAPER","Equity","0.08","49.15","539,561.00","26,519,423.15","26,519,423.15","Materials","US4601461035","New York Stock Exchange Inc.","United States","USD"
"CTL","CENTURYLINK INC","Equity","0.08","21.20","1,250,579.00","26,512,274.80","26,512,274.80","Telecommunications","US1567001060","New York Stock Exchange Inc.","United States","USD"
"FLT","FLEETCOR TECHNOLOGIES INC","Equity","0.08","227.84","116,290.00","26,495,513.60","26,495,513.60","Information Technology","US3390411052","New York Stock Exchange Inc.","United States","USD"
"GPN","GLOBAL PAYMENTS INC","Equity","0.08","127.40","207,295.00","26,409,383.00","26,409,383.00","Information Technology","US37940X1028","New York Stock Exchange Inc.","United States","USD"
"NUE","NUCOR CORP","Equity","0.08","63.45","413,689.00","26,248,567.05","26,248,567.05","Materials","US6703461052","New York Stock Exchange Inc.","United States","USD"
"HRS","HARRIS CORP","Equity","0.08","169.21","155,053.00","26,236,518.13","26,236,518.13","Industrials","US4138751056","New York Stock Exchange Inc.","United States","USD"
"MRO","MARATHON OIL CORP","Equity","0.08","23.28","1,126,403.00","26,222,661.84","26,222,661.84","Energy","US5658491064","New York Stock Exchange Inc.","United States","USD"
"DTE","DTE ENERGY","Equity","0.08","109.13","239,780.00","26,167,191.40","26,167,191.40","Utilities","US2333311072","New York Stock Exchange Inc.","United States","USD"
"VRSK","VERISK ANALYTICS INC","Equity","0.08","120.55","216,702.00","26,123,426.10","26,123,426.10","Industrials","US92345Y1064","NASDAQ","United States","USD"
"ES","EVERSOURCE ENERGY","Equity","0.08","61.44","417,315.00","25,639,833.60","25,639,833.60","Utilities","US30040W1080","New York Stock Exchange Inc.","United States","USD"
"VTR","VENTAS REIT INC","Equity","0.08","54.38","471,117.00","25,619,342.46","25,619,342.46","Real Estate","US92276F1003","New York Stock Exchange Inc.","United States","USD"
"CBS","CBS CORP CLASS B","Equity","0.08","57.45","445,428.00","25,589,838.60","25,589,838.60","Consumer Discretionary","US1248572026","New York Stock Exchange Inc.","United States","USD"
"BBY","BEST BUY INC","Equity","0.08","79.36","320,190.00","25,410,278.40","25,410,278.40","Consumer Discretionary","US0865161014","New York Stock Exchange Inc.","United States","USD"
"CLX","CLOROX","Equity","0.08","150.41","168,869.00","25,399,586.29","25,399,586.29","Consumer Staples","US1890541097","New York Stock Exchange Inc.","United States","USD"
"INFO","IHS MARKIT LTD","Equity","0.08","53.96","469,652.00","25,342,421.92","25,342,421.92","Industrials","BMG475671050","NASDAQ","United States","USD"
"DLTR","DOLLAR TREE INC","Equity","0.08","81.55","310,565.00","25,326,575.75","25,326,575.75","Consumer Discretionary","US2567461080","NASDAQ","United States","USD"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.08","123.09","203,351.00","25,030,474.59","25,030,474.59","Real Estate","US1011211018","New York Stock Exchange Inc.","United States","USD"
"MYL","MYLAN NV","Equity","0.08","36.60","680,969.00","24,923,465.40","24,923,465.40","Health Care","NL0011031208","NASDAQ","United States","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","0.08","78.91","311,003.00","24,541,246.73","24,541,246.73","Information Technology","US5950171042","NASDAQ","United States","USD"
"FITB","FIFTH THIRD BANCORP","Equity","0.08","27.92","876,705.00","24,477,603.60","24,477,603.60","Financials","US3167731005","NASDAQ","United States","USD"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.08","38.57","631,552.00","24,358,960.64","24,358,960.64","Financials","US1746101054","New York Stock Exchange Inc.","United States","USD"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.08","160.63","151,424.00","24,323,237.12","24,323,237.12","Real Estate","US78410G1040","NASDAQ","United States","USD"
"AME","AMETEK INC","Equity","0.07","79.12","306,610.00","24,258,983.20","24,258,983.20","Industrials","US0311001004","New York Stock Exchange Inc.","United States","USD"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.07","140.94","172,076.00","24,252,391.44","24,252,391.44","Financials","IE00BDB6Q211","NASDAQ","United States","USD"
"APA","APACHE CORP","Equity","0.07","47.67","505,658.00","24,104,716.86","24,104,716.86","Energy","US0374111054","New York Stock Exchange Inc.","United States","USD"
"FE","FIRSTENERGY CORP","Equity","0.07","37.17","639,455.00","23,768,542.35","23,768,542.35","Utilities","US3379321074","New York Stock Exchange Inc.","United States","USD"
"HES","HESS CORP","Equity","0.07","71.58","331,213.00","23,708,226.54","23,708,226.54","Energy","US42809H1077","New York Stock Exchange Inc.","United States","USD"
"TDG","TRANSDIGM GROUP INC","Equity","0.07","372.30","63,629.00","23,689,076.70","23,689,076.70","Industrials","US8936411003","New York Stock Exchange Inc.","United States","USD"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.07","49.96","467,879.00","23,375,234.84","23,375,234.84","Financials","US4165151048","New York Stock Exchange Inc.","United States","USD"
"TXT","TEXTRON INC","Equity","0.07","71.47","326,836.00","23,358,968.92","23,358,968.92","Industrials","US8832031012","New York Stock Exchange Inc.","United States","USD"
"K","KELLOGG","Equity","0.07","70.02","332,965.00","23,314,209.30","23,314,209.30","Consumer Staples","US4878361082","New York Stock Exchange Inc.","United States","USD"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.07","173.68","133,884.00","23,252,973.12","23,252,973.12","Health Care","US50540R4092","New York Stock Exchange Inc.","United States","USD"
"TSN","TYSON FOODS INC CLASS A","Equity","0.07","59.53","387,413.00","23,062,695.89","23,062,695.89","Consumer Staples","US9024941034","New York Stock Exchange Inc.","United States","USD"
"VRSN","VERISIGN INC","Equity","0.07","160.12","141,160.00","22,602,539.20","22,602,539.20","Information Technology","US92343E1029","NASDAQ","United States","USD"
"CTAS","CINTAS CORP","Equity","0.07","197.81","113,667.00","22,484,469.27","22,484,469.27","Industrials","US1729081059","NASDAQ","United States","USD"
"WDC","WESTERN DIGITAL CORP","Equity","0.07","58.54","383,337.00","22,440,547.98","22,440,547.98","Information Technology","US9581021055","NASDAQ","United States","USD"
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.07","41.33","539,241.00","22,286,830.53","22,286,830.53","Industrials","US02376R1023","NASDAQ","United States","USD"
"LLL","L3 TECHNOLOGIES INC","Equity","0.07","212.62","103,465.00","21,998,728.30","21,998,728.30","Industrials","US5024131071","New York Stock Exchange Inc.","United States","USD"
"CAH","CARDINAL HEALTH INC","Equity","0.07","54.00","406,571.00","21,954,834.00","21,954,834.00","Health Care","US14149Y1082","New York Stock Exchange Inc.","United States","USD"
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.07","98.74","220,803.00","21,802,088.22","21,802,088.22","Information Technology","US8919061098","New York Stock Exchange Inc.","United States","USD"
"NOV","NATIONAL OILWELL VARCO INC","Equity","0.07","43.08","505,828.00","21,791,070.24","21,791,070.24","Energy","US6370711011","New York Stock Exchange Inc.","United States","USD"
"SIVB","SVB FINANCIAL GROUP","Equity","0.07","310.83","70,094.00","21,787,318.02","21,787,318.02","Financials","US78486Q1013","NASDAQ","United States","USD"
"FAST","FASTENAL","Equity","0.07","58.02","375,374.00","21,779,199.48","21,779,199.48","Industrials","US3119001044","NASDAQ","United States","USD"
"RMD","RESMED INC","Equity","0.07","115.34","188,792.00","21,775,269.28","21,775,269.28","Health Care","US7611521078","New York Stock Exchange Inc.","United States","USD"
"O","REALTY INCOME REIT CORP","Equity","0.07","56.89","381,611.00","21,709,849.79","21,709,849.79","Real Estate","US7561091049","New York Stock Exchange Inc.","United States","USD"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.07","90.71","237,610.00","21,553,603.10","21,553,603.10","Information Technology","US83088M1027","NASDAQ","United States","USD"
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.07","14.92","1,440,309.00","21,489,410.28","21,489,410.28","Financials","US4461501045","NASDAQ","United States","USD"
"GWW","WW GRAINGER INC","Equity","0.07","357.41","59,822.00","21,380,981.02","21,380,981.02","Industrials","US3848021040","New York Stock Exchange Inc.","United States","USD"
"NEM","NEWMONT MINING CORP","Equity","0.07","30.20","705,929.00","21,319,055.80","21,319,055.80","Materials","US6516391066","New York Stock Exchange Inc.","United States","USD"
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.07","246.71","86,194.00","21,264,921.74","21,264,921.74","Real Estate","US2971781057","New York Stock Exchange Inc.","United States","USD"
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.07","320.49","65,749.00","21,071,897.01","21,071,897.01","Health Care","US94946T1060","New York Stock Exchange Inc.","United States","USD"
"ULTA","ULTA BEAUTY INC","Equity","0.06","282.12","74,518.00","21,023,018.16","21,023,018.16","Consumer Discretionary","US90384S3031","NASDAQ","United States","USD"
"AWK","AMERICAN WATER WORKS INC","Equity","0.06","87.97","237,472.00","20,890,411.84","20,890,411.84","Utilities","US0304201033","New York Stock Exchange Inc.","United States","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.06","131.75","158,404.00","20,869,727.00","20,869,727.00","Consumer Staples","US5797802064","New York Stock Exchange Inc.","United States","USD"
"RSG","REPUBLIC SERVICES INC","Equity","0.06","72.66","286,809.00","20,839,541.94","20,839,541.94","Industrials","US7607591002","New York Stock Exchange Inc.","United States","USD"
"MSCI","MSCI INC","Equity","0.06","177.41","117,162.00","20,785,710.42","20,785,710.42","Financials","US55354G1004","New York Stock Exchange Inc.","United States","USD"
"KLAC","KLA TENCOR CORP","Equity","0.06","101.71","203,457.00","20,693,611.47","20,693,611.47","Information Technology","US4824801009","NASDAQ","United States","USD"
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.06","21.10","980,635.00","20,691,398.50","20,691,398.50","Real Estate","US44107P1049","New York Stock Exchange Inc.","United States","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.06","137.99","149,533.00","20,634,058.67","20,634,058.67","Information Technology","US8740541094","NASDAQ","United States","USD"
"ANSS","ANSYS INC","Equity","0.06","186.68","110,485.00","20,625,339.80","20,625,339.80","Information Technology","US03662Q1058","NASDAQ","United States","USD"
"EFX","EQUIFAX INC","Equity","0.06","130.57","156,939.00","20,491,525.23","20,491,525.23","Industrials","US2944291051","New York Stock Exchange Inc.","United States","USD"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.06","58.59","348,850.00","20,439,121.50","20,439,121.50","Financials","US74251V1026","NASDAQ","United States","USD"
"CMA","COMERICA INC","Equity","0.06","90.20","226,441.00","20,424,978.20","20,424,978.20","Financials","US2003401070","New York Stock Exchange Inc.","United States","USD"
"EXPE","EXPEDIA GROUP INC","Equity","0.06","130.48","156,416.00","20,409,159.68","20,409,159.68","Consumer Discretionary","US30212P3038","NASDAQ","United States","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.06","131.95","154,074.00","20,330,064.30","20,330,064.30","Information Technology","US11133T1034","New York Stock Exchange Inc.","United States","USD"
"OMC","OMNICOM GROUP INC","Equity","0.06","68.02","298,902.00","20,331,314.04","20,331,314.04","Consumer Discretionary","US6819191064","New York Stock Exchange Inc.","United States","USD"
